"NAME","ADDRESS","POSTCODE","LONGITUDE","LATITUDE"
"Belfast City Hall","Donegall Square","BT1 5GS",-5.929894561787025,54.59660667496597
"Gasworks","Ormeau Avenue","BT7 2JB",-5.92274630401043,54.590814646701446
"Bridges Urban Skate Park","Corporation Street","BT1 3DE",-5.924104087169145,54.60444946790272
"King William Park","Bradbury Place","BT7 1RS",-5.936025587655617,54.587978029596464
"Dover Street Millennium Park","Shankill Road","BT13 2HQ",-5.9429050471240865,54.60158157152245
"Dunville Park","Falls Road","BT12 6AN",-5.953253399328854,54.596132471105456
"Ormeau Park","Ormeau Road","BT7 3GG",-5.916131805645339,54.58551652309489
"Botanic Gardens","College Park Botanic Avenue","BT7 1LP",-5.932014919679816,54.582249006852685
"Dr Pitt Memorial Park","Newtownards Road","BT4 1BU",-5.904614024905312,54.6001339427326
"Alexandra Park","Antrim Road","BT15 3BY",-5.932373919590133,54.61882388596021
"Woodvale Park","Woodvale Road","BT13 3BN",-5.965406446939455,54.60718214122649
"Springfield Park","Springfield Road","BT12 7QJ",-5.970534240165848,54.59931662134116
"Marrowbone Millennium Park","Oldpark Road","BT14 6QS",-5.953421487740432,54.616531012302616
"Drumglass Park","Lisburn Road","BT9 6JF",-5.954841146640687,54.57433488571338
"Waterworks","Antrim Road","BT14 6NG",-5.943915080639557,54.62145539308449
"Victoria Park","Park Avenue","BT4 1JT",-5.885743248854796,54.607712539805235
"Northwood Linear Park","Shore Road","BT15 3LZ",-5.92695816736425,54.62484996506149
"Greenville Park","Grand Parade","BT5 5HG",-5.882696743341092,54.58827850108923
"Springhill Millennium Park","Springfield Road","BT12 7QJ",-5.980222197971673,54.59586682826248
"Falls Park","Falls Road","BT12 6AN",-5.980984902778104,54.58702045956523
"Orangefield Park","Orangefield Lane Bloomfield Road","BT5 6AH",-5.87955762837083,54.58616598536393
"Forthriver Park","Ballygomartin Road","BT13 3LD",-5.9766577476232685,54.615007944366376
"Glencairn Park","Glencairn Road","BT13 3SQ",-5.9809120099475725,54.61350664023081
"Lagan Meadows","Knightsbridge Park","BT9 5PB",-5.936648262826538,54.56188722348696
"Michelle Baird Memorial Park","Forthriver Road","BT13 3UL",-5.979178449416242,54.61693681593764
"Grovelands","Stockman's Lane","BT9 7JB",-5.96953219998335,54.56935316416344
"Musgrave Park","Stockman's Lane","BT9 7JB",-5.973880524193516,54.56994716540786
"Clarawood Millennium Park","Clarawood Road","BT5 6GE",-5.866713763000442,54.58711720695722
"Alderman Tommy Patton Memorial Park","Inverary Avenue Holywood Road","BT4 1RN",-5.86933200554497,54.61104566274512
"Glenbank Park","Ligoniel Road","BT14 8BY",-5.980533726391449,54.62332968417114
"Loughside Park","Shore Road","BT15 4HP",-5.9223034498271785,54.63748383482586
"Clement Wilson Park","Newforge","BT9 5NX",-5.950435654808608,54.55518525452929
"Carr's Glen Linear Park","Ballysillan Road","BT14 6TN",-5.964015193963479,54.63466146768991
"Belmont Park","Cairnburn Road","BT4 2HR",-5.856420677740401,54.603998030736335
"Ligoniel Park","Ligoniel Road","BT14 8EF",-5.983614571523064,54.63022753004291
"Knocknagoney Linear Park","Holywood Road","BT4 2PU",-5.85683831259602,54.61696193915808
"Barnett Demesne","Milltown Road Malone Road","BT9 5PB",-5.959403366535026,54.551742944278864
"Belfast Castle Estate","Antrim Road","BT15 5GR",-5.944419917969535,54.644335689432104
"Finlay Park","Whitewell Road","BT36 7EU",-5.921975875614502,54.64845785011437
"Cave Hill Country Park","Antrim Road (junction of Innisfayle Park)","BT15 5GR",-5.952868800317652,54.64757338295998
"Wedderburn Park","Orpen Park","BT10 0BN",-5.9878366742481,54.55535505750669
"Lenadoon Millennium Park","Lenadoon Avenue","BT11 9GU",-6.011388797680725,54.57073130151315
"Carnanmore Park","Carnanmore Park","BT11 9LY",-6.011474885859188,54.56420071235922
"Sir Thomas and Lady Dixon Park","Upper Malone Road","BT17 9LA",-5.986198848895527,54.54153591772738
