NAME,ADDRESS,POSTCODE,RADAR Key,BabyChanging,LONGITUDE,LATITUDE
Arthur Lane,Arthur Street,N/A,Yes,Yes,-5.92708485,54.59697669
Lombard Street,N/A,N/A,Yes,Yes,-5.928837097,54.59959583
Bankmore Square,N/A,N/A,Yes,Yes,-5.931795505,54.59248658
Hope Street,Great Victoria Street,N/A,No,No,-5.934815805,54.59326927
Church Lane,Ann Street,N/A,Yes,Yes,-5.925554871,54.59957178
Gasworks,Ormeau Road,N/A,Yes,Yes,-5.924222916,54.59179439
Winetavern Street,North Street,N/A,Yes,Yes,-5.933881532,54.60182907
Custom House Square,N/A,N/A,Yes,Yes,-5.922536367,54.60131971
Shaftesbury Square,N/A,N/A,No,No,-5.934114072,54.5894688
Agnes Street,Skankill Road,N/A,Yes,Yes,-5.947198369,54.60458227
Ormeau Embankment,Ormeau Bridge,N/A,Yes,Yes,-5.920853296,54.58247925
Connswater,Westminster Avenue,N/A,Yes,Yes,-5.888639307,54.59829846
Drumglass,Lisburn Road,N/A,Yes,Yes,-5.956050896,54.57471135
Waterworks,Antrim Road,N/A,Yes,Yes,-5.944052066,54.62481126
